sessionnat;acam;libelle_acam;departement;domaine;codeqp;libelleqp;cat_cand_exa;libelle_cat_exa;sexe;decision_1;libelle_decision_1;decision_11;libelle_decision_11;effectif
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;A;Très bien;;;1882
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;B;Bien;;;2662
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;C;Assez bien;;;2136
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;D;Admis sans mention;;;1131
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;P;Passe le second groupe;D;Admis sans mention;166
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;P;Passe le second groupe;U;Refusé;67
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;R;Refusé;;;85
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;S;Hors champ;;;3
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;Y;TB avec félicitations;;;272
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;A;Très bien;;;1395
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;B;Bien;;;2129
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;C;Assez bien;;;1996
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;D;Admis sans mention;;;1184
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;P;Passe le second groupe;D;Admis sans mention;234
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;P;Passe le second groupe;U;Refusé;89
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;R;Refusé;;;103
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;S;Hors champ;;;2
2022;1;Paris;75;BGT;BCG;Baccalauréat général;110;SCOLAIRE;M;Y;TB avec félicitations;;;182
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;A;Très bien;;;23
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;B;Bien;;;50
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;C;Assez bien;;;79
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;D;Admis sans mention;;;72
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;P;Passe le second groupe;D;Admis sans mention;32
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;P;Passe le second groupe;U;Refusé;15
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;R;Refusé;;;37
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;X;Absent;;;53
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;F;Y;TB avec félicitations;;;3
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;M;A;Très bien;;;19
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;M;B;Bien;;;52
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;M;C;Assez bien;;;76
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;M;D;Admis sans mention;;;116
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;M;P;Passe le second groupe;D;Admis sans mention;53
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;M;P;Passe le second groupe;U;Refusé;28
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;M;R;Refusé;;;54
2022;1;Paris;75;BGT;BCG;Baccalauréat général;520;INDIVIDUEL;M;X;Absent;;;58
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;A;Très bien;;;5
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;B;Bien;;;10
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;C;Assez bien;;;7
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;D;Admis sans mention;;;4
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;P;Passe le second groupe;D;Admis sans mention;1
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;P;Passe le second groupe;U;Refusé;2
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;R;Refusé;;;3
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;S;Hors champ;;;1
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;X;Absent;;;1
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;F;Y;TB avec félicitations;;;1
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;M;A;Très bien;;;3
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;M;B;Bien;;;2
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;M;C;Assez bien;;;5
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;M;D;Admis sans mention;;;5
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;M;P;Passe le second groupe;D;Admis sans mention;2
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;M;R;Refusé;;;4
2022;1;Paris;75;BGT;BCG;Baccalauréat général;220;CNED SCOLAIRE;M;X;Absent;;;1
2022;2;Aix-Marseille;4;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;A;Très bien;;;62
2022;2;Aix-Marseille;4;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;B;Bien;;;128
2022;2;Aix-Marseille;4;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;C;Assez bien;;;138
2022;2;Aix-Marseille;4;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;D;Admis sans mention;;;86
2022;2;Aix-Marseille;4;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;P;Passe le second groupe;D;Admis sans mention;15
2022;2;Aix-Marseille;4;BGT;BCG;Baccalauréat général;110;SCOLAIRE;F;P;Passe le second groupe;U;Refusé;5
